Customer,FR_Intake,TP_Intake,DFL_Intake,Register_update_intake,Total_intake,FR_Output,TP_Output,DFL_Output,Register_update_output,Total_output,FR_requests_for_information,TP_requests_for_information,DFL_requests_for_information,Register_update_requests_for_information,Total_requests_for_information
"JCP Solicitors Limited (Inc VJG Johns & Son)","25","16","36","517","594","23","6","27","458","514","13","5","23","142","183"
"JMW Solicitors LLP","46","220","144","2437","2847","23","144","55","1749","1971","11","109","46","673","839"
"John W Davies & Co","17","30","53","518","618","5","12","16","404","437","3","11","15","185","214"
"Jones & Company","29","7","26","345","407","17","3","17","290","327","6","2","13","102","123"
"JS Law","15","41","37","1049","1142","23","17","39","776","855","11","9","23","214","257"
"Judge & Priestley","2","41","18","567","628","3","39","11","491","544","1","22","8","164","195"
"Juno Property Lawyers Limited","3","9","8","361","381","0","4","2","316","322","0","4","1","102","107"
"Just Retirement Money Limited","0","0","0","749","749","0","0","0","604","604","0","0","0","0","0"
"Kearns Legal Services Limited","0","0","0","616","616","0","0","0","469","469","0","0","0","13","13"
"Kenneth Elliott & Rowe","2","94","10","283","389","1","73","7","223","304","0","32","4","46","82"
"Kerseys","25","7","22","335","389","10","7","18","216","251","5","5","15","55","80"
"Kew Law LLP","10","14","31","469","524","14","17","22","456","509","10","11","17","168","206"
"Key Conveyancing","17","52","223","764","1056","10","29","104","648","791","9","23","70","234","336"
"Kidd Rapinet LLP","14","54","29","584","681","7","35","10","522","574","5","25","8","190","228"
"Kingfields","0","65","18","266","349","1","71","1","177","250","1","58","1","60","120"
"Knights Professional Services Limited","53","261","372","10332","11018","25","96","182","7188","7491","19","53","127","1538","1737"
"Kuit Steinart Levy","4","21","20","571","616","5","19","26","632","682","2","12","5","132","151"
"Lambert Pugh","14","4","36","499","553","12","9","20","538","579","6","2","10","148","166"
"Langley Wellington","21","25","128","437","611","12","14","64","368","458","5","9","44","120","178"
"Lanyon Bowdler","30","21","58","455","564","22","5","25","344","396","12","3","19","102","136"
"Laurus Law Limited","1","35","15","324","375","0","14","6","329","349","0","11","3","119","133"
"Law & Lawyers Solicitors","8","31","43","818","900","5","8","17","480","510","4","6","14","206","230"
"Lawcomm Solicitors","3","100","29","309","441","2","68","6","226","302","1","45","5","113","164"
"Lawrence Stephens","6","52","9","515","582","4","86","6","568","664","4","51","5","222","282"
"Leadenhall Law Group LTD","9","19","15","476","519","6","16","9","483","514","6","11","7","157","181"
"Leathes Prior","11","32","36","417","496","10","16","21","371","418","7","10","13","112","142"
"Leeds & Holbeck Building Society","0","0","0","4718","4718","0","0","0","4960","4960","0","0","0","0","0"
"Legacy Wills & Estate Planning Limited","0","0","0","396","396","0","0","0","149","149","0","0","0","9","9"
"Legal & General Home Finance LTD","0","0","0","675","675","0","0","0","662","662","0","0","0","0","0"
"Legal Aid Agency","0","0","0","1357","1357","0","0","0","1353","1353","0","0","0","12","12"
"Lester Aldridge LLP","9","85","40","1359","1493","3","18","19","1092","1132","2","15","11","364","392"
"Levi Solicitors LLP","12","13","22","610","657","13","8","29","655","705","7","3","21","239","270"
"Lgss Law LTD","5","3","0","384","392","5","3","2","243","253","0","2","2","9","13"
"Lightfoots","8","88","24","2568","2688","12","42","38","2483","2575","11","31","33","468","543"
"Linklaters LLP","0","8","0","491","499","2","2","1","536","541","2","1","1","5","9"
"Lloyds Bank PLC","0","0","0","7153","7153","0","0","0","7045","7045","0","0","0","22","22"
"Lockings","23","92","27","762","904","12","40","16","614","682","5","30","12","176","223"
"Lowell Solicitors Limited","0","0","0","563","563","0","0","0","243","243","0","0","0","8","8"
"Lyons Bowe Solicitors","19","17","64","513","613","10","15","14","372","411","7","13","9","161","190"
"Machins","12","17","26","316","371","2","12","11","325","350","1","10","6","74","91"
"Magdalene Haywood T/A Keystone Law","4","66","25","395","490","2","49","13","331","395","1","38","8","115","162"
"Malcolm C Foy & Co Limited","13","9","260","256","538","5","5","62","218","290","3","5","57","76","141"
"Marcus Baum","19","39","28","633","719","9","17","8","483","517","5","14","7","198","224"
"Marsden Rawsthorn LLP","30","14","53","580","677","25","10","20","503","558","18","7","14","255","294"
"Martin Tolhurst Partnership LLP","8","49","57","1137","1251","11","24","28","1143","1206","4","17","22","354","397"
"Martin-Kaye","16","7","24","427","474","12","5","18","498","533","6","4","12","119","141"
"Mason Baggott & Garton","27","2","33","312","374","18","1","17","325","361","10","1","12","116","139"
"Matini Montecristo Solicitors","0","240","3","310","553","1","28","2","48","79","1","23","2","12","38"
"Matthew Montgomery & Co","1","13","101","304","419","4","7","51","212","274","2","4","31","68","105"
"Mayo Wynne Baxter","9","60","36","471","576","9","24","25","364","422","6","17","16","102","141"
"McCarthy Bennett Holland","20","7","24","311","362","7","1","14","253","275","4","1","10","117","132"
"McMillan Williams","18","294","159","2253","2724","8","100","33","2020","2161","6","75","20","820","921"
"Metcalfe Copeman & Pettefar","24","9","42","399","474","16","6","38","400","460","13","2","25","135","175"
"MFG Solicitors","54","58","78","652","842","34","21","31","533","619","18","16","19","161","214"
"Michelmores LLP","14","52","140","496","702","16","25","89","329","459","7","18","63","102","190"
"Mike Judge","0","0","0","366","366","0","0","0","263","263","0","0","0","25","25"
"Mills & Reeve LLP","21","46","18","737","822","15","26","9","907","957","9","15","8","101","133"
"Mincoffs Solicitors LLP","9","24","25","404","462","4","13","18","423","458","2","10","12","101","125"
"Mishcon De Reya","0","23","1","452","476","0","4","4","382","390","0","3","0","83","86"
"Mjp Conveyancing Limited","8","19","30","386","443","2","3","4","297","306","1","3","2","84","90"
"Moore Barlow LLP","3","28","38","469","538","3","24","10","362","399","2","9","6","124","141"
"Morrisons","2","49","23","278","352","1","17","3","202","223","0","9","1","67","77"
"Mortimer Clarke Solicitors Limited","0","0","0","1476","1476","0","0","0","1848","1848","0","0","0","96","96"
"Mortons Law Limited","4","13","36","318","371","5","8","13","277","303","3","2","10","112","127"
"MSB Solicitors Limited","5","29","42","528","604","1","21","23","324","369","1","21","22","141","185"
"My Home Move Limited","84","133","307","7759","8283","35","117","203","8111","8466","21","64","101","1338","1524"
"Nalders Solicitors","49","32","76","615","772","38","20","43","608","709","19","14","26","226","285"
"Napthens LLP","50","31","84","883","1048","36","12","47","785","880","18","8","29","277","332"
"National Law Partners Limited","8","21","12","364","405","7","7","12","316","342","5","5","10","124","144"
"National Westminster Bank PLC","0","0","0","34980","34980","0","0","0","34096","34096","0","0","0","16","16"
"Nationwide Building Society","0","0","0","38847","38847","0","0","0","39240","39240","0","0","0","6","6"
"Nelsons Solicitors LLP","16","14","29","437","496","5","7","14","378","404","4","5","8","130","147"
"Neves Solicitors","8","31","27","368","434","9","26","20","326","381","4","13","14","95","126"
"New Homes Law","0","505","305","337","1147","1","277","111","165","554","0","180","89","65","334"
"Newbold & Co","17","8","115","608","748","11","8","57","439","515","8","6","43","136","193"
"Newman Law","4","5","25","372","406","0","3","3","225","231","0","1","2","72","75"
"Newtons Solicitors LTD","22","7","37","377","443","21","15","27","417","480","4","8","17","148","177"
"Nigel Broadhead Mynard","9","17","23","302","351","1","9","13","278","301","1","8","11","108","128"
"Norman H Barnett","1","176","20","164","361","1","82","7","127","217","1","49","7","63","120"
"Northern Powergrid Holdings Limited","4","1","0","2655","2660","4","0","0","2625","2629","0","0","0","4","4"
"Norton Peskett (Quality Solicitors)","34","57","119","435","645","21","13","92","469","595","8","7","53","136","204"
"Nottingham Building Society","0","0","0","1069","1069","0","0","0","1003","1003","0","0","0","0","0"
"Now Legal LLP Solicitors","7","16","20","398","441","4","5","8","323","340","3","5","3","116","127"
"O'Donnell Solicitors LTD","5","26","199","317","547","4","8","56","121","189","3","4","29","29","65"
"O'Neill Patient","88","233","236","25985","26542","75","200","171","24879","25325","34","128","124","5375","5661"
"O'Neill Patient T/A Cavendish Legal Group","4","301","45","787","1137","2","220","14","806","1042","1","135","11","261","408"
"Ocean Property Lawyers LTD","13","19","17","379","428","6","11","11","309","337","4","6","7","118","135"
"Oliver & Co Solicitors Limited","6","20","22","364","412","7","10","12","358","387","3","6","10","101","120"
"Onesavings Bank PLC","0","0","0","1453","1453","0","0","0","1367","1367","0","0","0","0","0"
"Open Law Limited","8","5","28","425","466","3","1","17","196","217","3","1","11","72","87"
"Oplo Hl LTD","0","0","0","2141","2141","0","0","0","1971","1971","0","0","0","137","137"
"Optima Legal Services","9","14","24","22488","22535","12","15","5","25256","25288","2","11","4","3475","3492"
"Osborne Clarke","17","46","47","647","757","1","41","21","700","763","0","23","16","128","167"
"Osbornes","2","85","5","286","378","0","32","2","243","277","0","8","1","67","76"
"Osler Donegan Taylor","3","82","14","447","546","1","52","6","391","450","1","27","3","121","152"
"P C S","9","86","74","599","768","7","109","41","824","981","1","80","33","315","429"
"Paragon Group","0","0","0","1995","1995","0","0","0","1909","1909","0","0","0","60","60"
"Paratus AMC LTD","0","0","0","1010","1010","0","0","0","893","893","0","0","0","4","4"
"Paris Smith LLP","15","102","45","1024","1186","16","50","21","580","667","11","33","13","181","238"
"Parkinson Wright LLP","9","17","41","437","504","13","12","16","365","406","7","9","12","125","153"
"Paul Robinson & Co","26","77","45","865","1013","25","48","35","818","926","16","38","30","368","452"
"PCS","16","25","44","530","615","4","9","48","447","508","3","6","32","120","161"
"Penningtons Manches  Cooper","9","33","44","535","621","5","66","32","893","996","4","44","23","148","219"
"Pepper (UK) Limited","0","0","0","1852","1852","0","0","0","1845","1845","0","0","0","0","0"
"Pepper (UK) LTD","0","0","0","1401","1401","0","0","0","1440","1440","0","0","0","0","0"
"Peter Lynn & Partners","19","20","63","474","576","9","11","25","394","439","4","8","17","161","190"
"Philip Ross & Co","3","43","7","311","364","2","28","3","301","334","0","18","2","122","142"
"Phillips","6","78","35","326","445","3","55","29","319","406","2","42","23","117","184"
"Pinsent Masons LLP","5","889","456","1572","2922","4","136","107","1754","2001","2","77","45","94","218"
"Pirie Palmann Limited","19","15","37","725","796","9","9","20","802","840","6","8","13","255","282"
"Platform Funding Limited","0","0","0","3653","3653","0","0","0","3527","3527","0","0","0","0","0"
"Platform Funding Limited (Leek 12)","0","0","0","743","743","0","0","0","678","678","0","0","0","1","1"
"PM Law LTD","30","23","53","1002","1108","9","26","23","580","638","6","19","13","166","204"
"Poole Alcock LLP","26","9","66","495","596","14","18","57","344","433","11","14","38","96","159"
"Porter Dodson LLP","31","42","60","460","593","27","26","29","394","476","16","10","20","131","177"
"Premier Solicitors (Bedford) LTD","11","19","52","778","860","3","5","12","632","652","2","3","9","291","305"
"Prince Evans","0","111","10","280","401","1","57","7","172","237","1","39","6","71","117"
"Principality Building Society","0","0","0","3019","3019","0","0","0","2945","2945","0","0","0","4","4"
"Property Legal Services (PLS)","15","340","598","1947","2900","18","220","361","1755","2354","10","130","203","511","854"
"Pure Law LLP","10","39","8","1596","1653","10","31","7","1415","1463","3","18","5","173","199"
"Ramsdens Solicitors LLP","38","30","71","1248","1387","26","14","55","1112","1207","15","8","32","254","309"
"Read Roper and Read","39","41","63","1644","1787","5","11","25","1528","1569","5","6","18","481","510"
"Red Kite Law","44","24","77","778","923","33","14","56","532","635","20","7","45","175","247"
"Renier Gillies (T/A RG Solicitors)","11","51","64","362","488","10","13","29","334","386","5","10","24","138","177"
"Restons","0","0","0","585","585","0","0","0","388","388","0","0","0","6","6"
"Ridley & Hall LLP","8","34","31","308","381","4","6","12","292","314","1","0","6","77","84"
"Right Choice Conveyancing Limited","11","7","17","623","658","5","10","84","666","765","5","7","45","175","232"
"Risdon Hosegood","18","3","99","246","366","9","0","28","261","298","5","0","23","89","117"
"Riseam Sharples","0","382","24","582","988","0","198","2","319","519","0","124","0","26","150"
"RMNJ Solicitors","8","8","22","533","571","13","9","12","476","510","10","5","8","150","173"
"Robertsons","10","24","29","2788","2851","3","10","20","3849","3882","2","7","17","560","586"
"Rogers & Norton Limited","22","16","48","341","427","12","7","18","327","364","8","6","9","118","141"
"Ronald Fletcher Baker LLP","4","124","25","995","1148","4","59","12","779","854","4","40","9","281","334"
"Rothera Sharp","18","12","19","340","389","12","17","18","285","332","8","9","14","116","147"
"Rowlinsons Solicitors","11","16","51","450","528","8","13","19","449","489","6","12","13","152","183"
"Royds Withy King LLP","32","61","100","881","1074","19","25","50","638","732","14","14","30","248","306"
"Roythornes Limited","30","31","183","752","996","32","18","152","483","685","19","10","75","170","274"
"Russell & Russell","26","74","67","2185","2352","23","24","27","1591","1665","14","14","19","478","525"
"Russell-Cooke LLP","8","74","12","482","576","2","46","6","375","429","0","27","3","119","149"
"SA Law Incorporating Pickworths","0","79","22","255","356","1","11","10","150","172","1","8","8","40","57"
"Santander UK","0","0","0","14818","14818","0","0","0","14818","14818","0","0","0","6","6"
"SAS Daniels","23","34","65","840","962","24","14","39","663","740","13","13","22","265","313"
"Schofield Sweeney LLP","13","43","31","431","518","10","14","18","441","483","5","9","12","155","181"
"Seatons","13","11","40","399","463","16","5","23","373","417","7","3","13","119","142"
"Seddons","0","56","13","756","825","1","39","4","530","574","1","29","3","129","162"
"Setfords Law LTD","57","421","372","4108","4958","31","162","116","3194","3503","14","98","89","1158","1359"
"Shakespeare Martineau LLP","77","469","251","1704","2501","59","168","147","1215","1589","12","94","98","400","604"
"Shawbrook Bank Limited","0","0","0","600","600","0","0","0","546","546","0","0","0","1","1"
"Shepherd & Wedderburn Ws","8","21","2","608","639","3","9","5","240","257","0","4","3","54","61"
"Shoosmiths","39","399","198","2928","3564","33","269","136","3093","3531","18","130","84","800","1032"
"Sills and Betteridge","64","13","99","783","959","36","7","57","716","816","23","6","32","213","274"
"Silverdale Solicitors","1","12","18","374","405","2","5","8","241","256","1","4","7","84","96"
"Simply Conveyancing Property Lawyers","25","50","54","1305","1434","16","31","37","1435","1519","9","20","25","563","617"
"Simpson Jones LLP","10","3","39","360","412","10","1","28","279","318","6","1","23","120","150"
"Simpson Millar LLP","12","13","15","470","510","9","5","9","327","350","6","4","7","103","120"
"Sintons LLP","20","21","37","445","523","14","16","34","335","399","8","12","13","83","116"
"Skipton Building Society","0","0","0","5228","5228","0","0","0","5505","5505","0","0","0","2","2"
"Slater Heelis Limited","6","11","19","346","382","1","1","2","121","125","1","1","1","25","28"
"Slaughter & May","0","6","2","345","353","3","0","0","335","338","2","0","0","5","7"
"Slee Blackwell","23","18","66","594","701","17","13","43","483","556","10","10","31","136","187"
"Solex Legal Services Limited","0","6","4","4746","4756","2","6","3","5702","5713","0","4","3","1213","1220"
"Solomon Taylor Shaw","2","27","8","392","429","1","12","4","229","246","0","9","3","84","96"
"Sort Legal","3","3","16","840","862","5","4","7","584","600","1","3","4","105","113"
"Spector Constant & Williams LTD","2","27","9","362","400","0","19","3","278","300","0","10","2","110","122"
"Spire Solicitors LLP","62","26","56","568","712","28","14","47","609","698","18","13","30","182","243"
"Spratt Endicott","21","41","57","497","616","20","17","30","459","526","14","14","19","173","220"
"Squire Patton Boggs (UK) LLP","2","108","21","612","743","0","48","12","234","294","0","12","6","53","71"
"Star Legal LLP","45","36","45","779","905","31","29","40","752","852","18","22","23","205","268"
"Stephen Rimmer LLP","3","73","75","870","1021","4","40","23","778","845","2","30","16","244","292"
"Stephens Scown","42","25","83","475","625","27","6","41","367","441","19","4","24","116","163"
"Stephensons LLP","12","20","23","331","386","18","20","21","301","360","7","16","14","94","131"
"Stirling Ackroyd Legal","4","128","26","753","911","2","41","9","581","633","1","23","6","256","286"
"Stone King LLP","16","40","12","291","359","6","13","5","170","194","2","9","4","38","53"
"Sweeney Miller Solicitors","13","29","56","648","746","13","23","49","513","598","11","19","23","181","234"
"Switalskis Limited","20","33","170","498","721","9","15","66","381","471","6","10","40","163","219"
"Sydney Mitchell LLP","3","26","24","351","404","7","10","9","285","311","3","4","6","129","142"
"Talbots Law Limited","55","216","587","1672","2530","43","101","240","1381","1765","25","59","150","466","700"
"Tallents Solicitors","11","12","126","304","453","7","3","45","263","318","3","3","30","87","123"
"Target Group Limited","0","0","0","1158","1158","0","0","0","1148","1148","0","0","0","0","0"
"Taylor & Emmet","31","27","55","977","1090","36","18","82","799","935","14","14","56","289","373"
"Taylor Bracewell","15","9","62","324","410","10","4","41","273","328","6","4","28","110","148"
"Taylor Rose Law","71","310","553","5920","6854","43","216","283","4982","5524","30","162","198","1822","2212"
"Taylor Walton","18","61","100","637","816","10","20","66","591","687","5","13","52","223","293"
"Taylors Legal","3","137","64","289","493","1","148","52","299","500","1","129","47","151","328"
"TBD Legal Limited","9","26","21","415","471","7","9","22","385","423","2","7","16","110","135"
"Tees","36","63","133","736","968","23","24","77","635","759","17","17","65","197","296"
"Thackray Williams","0","76","126","432","634","1","53","48","398","500","1","23","21","131","176"
"The Co-operative Bank PLC","0","0","0","1839","1839","0","0","0","1922","1922","0","0","0","1","1"
"The Mortgage Works (UK) PLC","0","0","0","7509","7509","0","0","0","7491","7491","0","0","0","1","1"
"The Partnership (2009) Limited","9","58","27","753","847","2","32","16","661","711","2","29","10","237","278"
"The Ringrose Law Group","30","21","96","437","584","42","13","47","373","475","6","11","26","129","172"
"The Royal Bank of Scotland PLC","0","0","0","5904","5904","0","0","0","5827","5827","0","0","0","5","5"
"The Smith Partnership","19","15","42","585","661","19","11","52","485","567","13","7","42","209","271"
"The Spicketts Battrick Law Practice","24","42","62","1331","1459","19","23","32","1178","1252","10","16","25","402","453"
"The Wilkes Partnership","7","14","19","345","385","4","18","18","374","414","2","15","14","97","128"
"Thomas Flavell & Sons","14","8","75","529","626","13","12","48","516","589","6","8","36","178","228"
"Thomson Snell & Passmore","5","21","18","508","552","5","11","26","395","437","3","8","20","115","146"
"Thornton Solicitors","9","5","88","247","349","5","8","51","216","280","1","6","34","70","111"
"Thrings LLP","9","35","27","484","555","9","13","12","405","439","5","9","10","105","129"
"Thursfields Solicitors","20","13","42","480","555","15","14","65","332","426","10","3","41","104","158"
"Tilly Bailey & Irvine","27","29","84","1052","1192","26","8","57","877","968","14","7","46","276","343"
"Tinsdills Solicitors","33","10","32","384","459","27","6","14","340","387","16","4","13","97","130"
"TLT LLP","17","101","56","1899","2073","19","82","39","1920","2060","13","72","30","300","415"
"Together Financial Services","0","0","0","2760","2760","1","0","0","2525","2526","1","0","0","72","73"
"Tolhurst & Fisher","27","51","41","653","772","12","33","14","562","621","8","18","12","227","265"
"Tollers LLP","25","11","22","354","412","21","7","16","291","335","12","4","5","92","113"
"Topaz Finance Limited","0","0","0","2993","2993","0","0","0","2258","2258","0","0","0","0","0"
"Tozers LLP","19","45","228","863","1155","7","28","84","771","890","5","12","46","99","162"
"TQ Law Limited","13","3","6","376","398","9","5","11","305","330","7","4","5","115","131"
"Trethowans","36","75","46","691","848","15","75","22","682","794","10","56","17","207","290"
"Trowers & Hamlins","16","116","143","3382","3657","11","58","59","2030","2158","9","39","31","204","283"
"TSB Bank PLC Sheldon Sec Centre","0","0","0","6528","6528","0","0","0","6601","6601","0","0","0","0","0"
"TWM Solicitors LLP","11","129","60","1569","1769","8","81","36","1548","1673","5","49","21","574","649"
"Veale Wasbrough Vizards","14","42","25","555","636","11","23","11","445","490","8","9","7","128","152"
"Vincents Solicitors","27","24","40","739","830","25","57","22","502","606","18","35","16","135","204"
"Wake Smith Solicitors Limited","11","14","21","334","380","10","7","14","283","314","7","6","11","115","139"
"Waldrons","7","9","23","359","398","11","7","13","231","262","3","3","7","80","93"
"Walker Foster","23","19","47","354","443","18","10","24","337","389","11","8","15","121","155"
"Walker Morris LLP","8","69","22","851","950","9","21","9","2517","2556","5","12","7","56","80"
"Wallace LLP","0","13","5","443","461","0","5","0","404","409","0","2","0","13","15"
"Wansbroughs","13","20","39","316","388","19","7","15","222","263","4","4","9","59","76"
"Ward Gethin Archer","53","7","72","711","843","33","4","56","770","863","21","1","35","293","350"
"Ward Hadaway","5","34","95","558","692","4","18","53","446","521","2","8","32","101","143"
"Wards","33","35","172","808","1048","24","24","134","651","833","11","17","97","182","307"
"Ware & Kay LLP","27","7","33","293","360","6","11","5","243","265","5","10","3","53","71"
"Warner Goodman LLP","25","27","11","546","609","15","12","11","530","568","2","5","6","135","148"
"Watson Ramsbottom","36","160","650","1259","2105","23","61","486","685","1255","13","40","284","239","576"
"WBW LLP Trading as WBW Solicitors","23","20","54","712","809","26","11","31","501","569","15","6","25","145","191"
"Wedlake Bell","0","75","13","675","763","3","16","6","480","505","2","11","4","103","120"
"Weightmans LLP","8","70","16","560","654","6","25","6","448","485","3","11","2","105","121"
"West Bromwich Building Society","0","0","0","1448","1448","0","0","0","1304","1304","0","0","0","1","1"
"West One Loan Limited","0","0","0","777","777","0","0","0","578","578","0","0","0","31","31"
"Whitehead Monckton","1","13","33","322","369","1","15","30","290","336","1","14","18","77","110"
"WHN Solicitors Limited","22","6","37","357","422","22","6","16","291","335","17","4","12","102","135"
"Wilkin Chapman LLP","56","33","97","1192","1378","45","19","83","1049","1196","20","12","50","218","300"
"Wilkinson Woodward Norcliffe & Co","31","12","48","781","872","16","2","31","629","678","6","1","25","206","238"
"Willans LLP","12","75","20","395","502","11","24","10","262","307","4","16","7","92","119"
"Wilson Browne","18","15","38","351","422","18","12","18","330","378","8","8","16","112","144"
"Wilsons Solicitors (Leeds)","14","8","13","338","373","6","2","6","280","294","1","1","3","97","102"
"Winckworth Sherwood","10","257","124","707","1098","22","51","78","469","620","6","24","57","74","161"
"Windlestone Developments Limited","0","0","6","385","391","0","0","3","63","66","0","0","1","0","1"
"Wollen Michelmore","22","16","63","348","449","10","10","26","369","415","4","7","16","125","152"
"Womble Bond Dickinson","15","146","71","1341","1573","18","71","38","884","1011","9","55","11","175","250"
"Woodford Stauffer","7","41","61","429","538","7","50","31","399","487","4","24","17","117","162"
"Woodwards Law LTD","29","5","24","454","512","7","2","9","328","346","6","1","5","100","112"
"Wright Hassall LLP","12","35","97","537","681","8","10","52","872","942","3","8","30","74","115"
"Yorkshire Bank Home Loans","0","0","0","3817","3817","0","0","0","3762","3762","0","0","0","2","2"
"Yorkshire Building Society","0","0","0","3968","3968","0","0","0","3981","3981","0","0","0","0","0"
"Your Conveyancer Limited","0","0","0","2921","2921","0","0","0","2941","2941","0","0","0","901","901"
"YVA Solicitors LLP","4","59","11","533","607","1","60","7","514","582","1","38","4","188","231"
